SessionID,date,string,latency (mSec),comment
ID080413m,2014-08-04 13:01:31 +0000,1,481.571667,morning coffee
ID080413m,2014-08-04 13:01:34 +0000,3,380.229833,morning coffee
ID080413m,2014-08-04 13:01:36 +0000,2,447.417292,morning coffee
ID080413m,2014-08-04 13:01:39 +0000,5,455.752417,morning coffee
ID080413m,2014-08-04 13:01:42 +0000,3,473.62825,morning coffee
ID080413m,2014-08-04 13:01:45 +0000,4,431.253333,morning coffee
ID080413m,2014-08-04 13:01:48 +0000,6,498.025333,morning coffee
,2014-08-04 13:01:48 +0000,Session,0.37979,morning coffee
ID080514m,2014-08-05 13:59:52 +0000,2,449.194667,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 13:59:54 +0000,2,383.330208,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 13:59:57 +0000,4,366.695708,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:00 +0000,2,417.558083,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:03 +0000,4,382.946708,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:06 +0000,3,416.675458,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:09 +0000,6,399.274417,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:12 +0000,2,432.664292,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:14 +0000,2,348.951667,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:17 +0000,5,415.737625,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:20 +0000,4,399.562708,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:23 +0000,2,382.081667,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:29 +0000,6,398.128,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:32 +0000,5,398.642375,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:35 +0000,4,383.941667,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:37 +0000,4,398.459708,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:40 +0000,6,398.840625,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:43 +0000,1,500.107,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:46 +0000,5,348.9965,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:49 +0000,4,400.190875,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:51 +0000,6,415.722958,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:54 +0000,1,448.830167,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:00:57 +0000,5,382.295542,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:01:00 +0000,3,383.043833,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:01:03 +0000,6,448.405917,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:01:05 +0000,3,349.765167,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:01:08 +0000,2,398.687542,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:01:11 +0000,5,398.12775,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:01:14 +0000,4,415.002292,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:01:17 +0000,1,448.766625,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:01:20 +0000,4,348.142292,morning after coffee (1hr outside. writing)
ID080514m,2014-08-05 14:01:23 +0000,4,448.968792,morning after coffee (1hr outside. writing)
,2014-08-05 14:01:23 +0000,Session,0.508556,morning after coffee (1hr outside. writing)
ID080704m,2014-08-07 04:39:50 +0000,4,397.027167,before bedtime
ID080704m,2014-08-07 04:39:53 +0000,6,432.7315,before bedtime
ID080704m,2014-08-07 04:39:56 +0000,1,381.4375,before bedtime
ID080704m,2014-08-07 04:39:58 +0000,5,365.405125,before bedtime
ID080704m,2014-08-07 04:40:01 +0000,2,363.816875,before bedtime
ID080704m,2014-08-07 04:40:04 +0000,3,335.992917,before bedtime
ID080704m,2014-08-07 04:40:07 +0000,3,399.256458,before bedtime
ID080704m,2014-08-07 04:40:10 +0000,4,417.418542,before bedtime
ID080704m,2014-08-07 04:40:12 +0000,4,383.476792,before bedtime
ID080704m,2014-08-07 04:40:19 +0000,6,398.435833,before bedtime
ID080704m,2014-08-07 04:40:22 +0000,1,398.717833,before bedtime
ID080704m,2014-08-07 04:40:24 +0000,1,447.496417,before bedtime
ID080704m,2014-08-07 04:40:27 +0000,3,381.277875,before bedtime
ID080704m,2014-08-07 04:40:30 +0000,1,424.912667,before bedtime
ID080704m,2014-08-07 04:40:33 +0000,4,388.021042,before bedtime
ID080704m,2014-08-07 04:40:36 +0000,6,415.586042,before bedtime
ID080704m,2014-08-07 04:40:39 +0000,6,423.843708,before bedtime
ID080704m,2014-08-07 04:40:41 +0000,2,366.418375,before bedtime
ID080704m,2014-08-07 04:40:48 +0000,6,465.333333,before bedtime
ID080704m,2014-08-07 04:40:51 +0000,2,433.215042,before bedtime
ID080704m,2014-08-07 04:40:54 +0000,4,349.361792,before bedtime
ID080704m,2014-08-07 04:40:57 +0000,4,416.084583,before bedtime
ID080704m,2014-08-07 04:41:00 +0000,2,365.658458,before bedtime
ID080704m,2014-08-07 04:41:02 +0000,2,398.066792,before bedtime
ID080704m,2014-08-07 04:41:09 +0000,3,398.0945,before bedtime
ID080704m,2014-08-07 04:41:11 +0000,6,432.045917,before bedtime
ID080704m,2014-08-07 04:41:14 +0000,6,415.711458,before bedtime
ID080704m,2014-08-07 04:41:17 +0000,3,398.161125,before bedtime
ID080704m,2014-08-07 04:41:20 +0000,1,464.184917,before bedtime
ID080704m,2014-08-07 04:41:23 +0000,2,431.440167,before bedtime
ID080704m,2014-08-07 04:41:26 +0000,2,364.225917,before bedtime
ID080704m,2014-08-07 04:41:29 +0000,5,462.882583,before bedtime
,2014-08-07 04:41:29 +0000,Session,0.549314,before bedtime
ID080804m,2014-08-08 04:56:13 +0000,3,417.632458,before. bedtime
ID080804m,2014-08-08 04:56:16 +0000,6,434.503208,before. bedtime
ID080804m,2014-08-08 04:56:19 +0000,3,351.071833,before. bedtime
ID080804m,2014-08-08 04:56:21 +0000,2,384.342208,before. bedtime
ID080804m,2014-08-08 04:56:24 +0000,5,399.472,before. bedtime
ID080804m,2014-08-08 04:56:27 +0000,1,416.332292,before. bedtime
ID080804m,2014-08-08 04:56:30 +0000,2,348.9425,before. bedtime
ID080804m,2014-08-08 04:56:33 +0000,3,314.571833,before. bedtime
ID080804m,2014-08-08 04:56:36 +0000,6,431.876083,before. bedtime
ID080804m,2014-08-08 04:56:38 +0000,1,382.430125,before. bedtime
ID080804m,2014-08-08 04:56:41 +0000,5,365.162208,before. bedtime
ID080804m,2014-08-08 04:56:44 +0000,3,381.360875,before. bedtime
ID080804m,2014-08-08 04:56:47 +0000,6,365.804542,before. bedtime
ID080804m,2014-08-08 04:56:50 +0000,3,382.124292,before. bedtime
ID080804m,2014-08-08 04:56:56 +0000,5,383.54225,before. bedtime
ID080804m,2014-08-08 04:56:59 +0000,1,365.871792,before. bedtime
ID080804m,2014-08-08 04:57:02 +0000,4,375.252417,before. bedtime
ID080804m,2014-08-08 04:57:04 +0000,5,349.381875,before. bedtime
ID080804m,2014-08-08 04:57:10 +0000,2,366.722958,before. bedtime
ID080804m,2014-08-08 04:57:14 +0000,6,383.181125,before. bedtime
ID080804m,2014-08-08 04:57:17 +0000,1,432.92975,before. bedtime
ID080804m,2014-08-08 04:57:20 +0000,5,383.040833,before. bedtime
ID080804m,2014-08-08 04:57:22 +0000,3,365.256583,before. bedtime
ID080804m,2014-08-08 04:57:25 +0000,1,416.555083,before. bedtime
ID080804m,2014-08-08 04:57:28 +0000,3,315.7945,before. bedtime
ID080804m,2014-08-08 04:57:31 +0000,2,398.161708,before. bedtime
ID080804m,2014-08-08 04:57:34 +0000,4,383.925167,before. bedtime
ID080804m,2014-08-08 04:57:36 +0000,3,349.621333,before. bedtime
ID080804m,2014-08-08 04:57:39 +0000,3,382.142833,before. bedtime
ID080804m,2014-08-08 04:57:46 +0000,5,431.796208,before. bedtime
ID080804m,2014-08-08 04:57:49 +0000,6,431.921417,before. bedtime
ID080804m,2014-08-08 04:57:52 +0000,6,415.023833,before. bedtime
,2014-08-08 04:57:52 +0000,Session,0.658956,before. bedtime
ID080813m,2014-08-08 13:51:40 +0000,4,373.636708,morning during coffee
ID080813m,2014-08-08 13:51:43 +0000,6,373.75075,morning during coffee
ID080813m,2014-08-08 13:51:46 +0000,1,458.215292,morning during coffee
ID080813m,2014-08-08 13:51:49 +0000,1,407.424833,morning during coffee
ID080813m,2014-08-08 13:51:52 +0000,5,390.644708,morning during coffee
ID080813m,2014-08-08 13:51:59 +0000,3,414.37,morning during coffee
ID080813m,2014-08-08 13:52:02 +0000,3,374.374875,morning during coffee
ID080813m,2014-08-08 13:52:05 +0000,5,368.563167,morning during coffee
ID080813m,2014-08-08 13:52:08 +0000,1,430.265375,morning during coffee
ID080813m,2014-08-08 13:52:11 +0000,6,397.091667,morning during coffee
ID080813m,2014-08-08 13:52:14 +0000,4,380.726542,morning during coffee
ID080813m,2014-08-08 13:52:17 +0000,1,413.986875,morning during coffee
ID080813m,2014-08-08 13:52:20 +0000,4,341.226208,morning during coffee
ID080813m,2014-08-08 13:52:22 +0000,3,390.508833,morning during coffee
ID080813m,2014-08-08 13:52:25 +0000,4,382.557583,morning during coffee
ID080813m,2014-08-08 13:52:48 +0000,3,400.097542,morning during coffee
ID080813m,2014-08-08 13:52:52 +0000,3,414.296167,morning during coffee
ID080813m,2014-08-08 13:52:54 +0000,1,415.347458,morning during coffee
ID080813m,2014-08-08 13:52:57 +0000,1,397.721792,morning during coffee
